surrogate_key,video_id,video_title,duration_seconds,published_date,effective_from,effective_to,is_current,source_system
6d27cc29-58cb-49b1-836e-05c2e463df47,Total,,,,2025-11-11 05:47:10.002179 UTC,,true,
25d43976-7f9c-47df-8237-b7ccb24e0334,vy-R4oUZaC8,Data Science Project Example Start to Finish (Deep Learning Image Classifier),232,2020-03-20,2025-11-11 05:42:31.833588 UTC,,true,bronze
e4ad0226-1905-41cd-bfb3-8371d8b0b083,9-2OKLZfvbE,Questions You Should Ask Your Data Science Interviewers,298,2020-01-06,2025-11-11 05:42:31.833588 UTC,,true,bronze
a147ed52-849c-4d58-9cde-2c99ad68b786,IoUWD1h6xUs,A Quick Data Science Project Tip! #SHORTS,34,2021-06-03,2025-11-11 05:42:31.833588 UTC,,true,bronze
3f2031ca-5904-4830-a60b-910278d94263,-pdXWmj9xxU,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,270,2020-09-04,2025-11-11 05:42:31.833588 UTC,,true,bronze
2b1ea417-daaf-4290-8e96-b1c8b934b23c,Kq9dkZu0bpg,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",337,2020-09-18,2025-11-11 05:42:31.833588 UTC,,true,bronze
a631818a-9e66-48e8-b370-72e68581210d,-zbLpoJVBMI,What the Heck is WSL 2? (My New Favorite Tool),145,2021-12-17,2025-11-11 05:42:31.833588 UTC,,true,bronze
ffdf35d2-1f1a-4a59-b5ee-6c6ffa3ba239,uic34RTaI-w,How I Balance Data Science and Content Creation (7 Secrets),170,2021-01-23,2025-11-11 05:42:31.833588 UTC,,true,bronze
8bf8ac48-16c9-4b1d-b1e0-72e2344b9f55,r-DR9HBaipU,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),229,2021-01-02,2025-11-11 05:42:31.833588 UTC,,true,bronze
4b6dcdb7-3543-4099-8bb4-66e27d9b79c4,ji7DtgUeKCI,7 Things to Look For in a Masters For Data Science (feat. @Tina Huang),230,2020-11-20,2025-11-11 05:42:31.833588 UTC,,true,bronze
c1a4ae1c-4d06-4459-8055-e20e6eece505,n7kjelw9s2w,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,31,2021-05-07,2025-11-11 05:42:31.833588 UTC,,true,bronze
3769c50d-a6df-4df9-86e9-73c028d7fb2b,myhoWUrSP7o,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,119,2020-12-07,2025-11-11 05:42:31.833588 UTC,,true,bronze
61749b09-eff0-481d-9d1c-95362497b524,6tQtwqthUMI,My First Data Science Contracting Side-Gig (How I Did It),231,2020-07-31,2025-11-11 05:42:31.833588 UTC,,true,bronze
7ff6731e-a6a2-43bd-8786-90994354ab84,txR8_jGi0Ls,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),236,2020-06-08,2025-11-11 05:42:31.833588 UTC,,true,bronze
470f59bd-5f7b-4c5e-8136-a02bc2df0645,ELFGsNqZrlM,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),242,2020-07-22,2025-11-11 05:42:31.833588 UTC,,true,bronze
428c3934-f72b-47cd-aa7b-f02b51b80297,PWmxLYTixAM,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),246,2020-07-20,2025-11-11 05:42:31.833588 UTC,,true,bronze
250c5e74-154c-4c0e-ab48-368d4ea7503e,8Pi36Nj6P9A,What is Pandas? (Data & Data Science) #shorts,25,2021-04-30,2025-11-11 05:42:31.833588 UTC,,true,bronze
fb5762a3-f180-4f06-8a94-7c3ba40e966d,68GGPK3WaqI,Data Science Project - Expectations vs Reality (funny) #shorts,43,2021-08-06,2025-11-11 05:42:31.833588 UTC,,true,bronze
838a5435-c7e2-4154-960f-6f3f9637fa6f,agHKuUoMwvY,Data Science Project from Scratch - Part 7 (Documenting Your Work),134,2020-04-17,2025-11-11 05:42:31.833588 UTC,,true,bronze
9359baf7-3cf6-47da-afdd-c0b9d2c4c310,xjhW1rSQeik,Data Science Advice for College Students,150,2020-02-14,2025-11-11 05:42:31.833588 UTC,,true,bronze
870e0470-95db-4d06-b19c-24b2ca925653,VN12ZPFsApM,How To Learn Programming for Data Science [3 Steps],203,2020-01-13,2025-11-11 05:42:31.833588 UTC,,true,bronze
8bb49669-92d8-48b8-9dd4-c2a985f795b5,4yI3vVe0Jos,Data Science Fundamentals: Data Cleaning in Python,303,2019-08-11,2025-11-11 05:42:31.833588 UTC,,true,bronze
af157f15-9c67-469a-951b-04e627da4f69,5v_ulmGv-gc,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,377,2020-08-26,2025-11-11 05:42:31.833588 UTC,,true,bronze
88e69793-77b4-4fd1-aa07-0d7494828984,HJH0gfY6EUg,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),101,2020-05-25,2025-11-11 05:42:31.833588 UTC,,true,bronze
68d28e26-9fb9-46b2-9362-1c47fd73aa46,uXLnbdHMf8w,Why I'm Starting Data Science Over Again.,156,2020-08-29,2025-11-11 05:42:31.833588 UTC,,true,bronze
1293dc56-d09c-4e30-8b93-589864ce4618,YR9Faf1uZDg,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),180,2020-12-10,2025-11-11 05:42:31.833588 UTC,,true,bronze
