comment_id,video_id,comment_text,comment_date,reply_count,like_count,is_spam_suspected
UgzpH5-5cPsUuiHYAip4AaABAg,8nTmuKI2oyA,POST THE NOTION TEMPLATE.,2021-12-08,0,0,false
Ugxaoec0-cBVqFIDJul4AaABAg,15c7WD-lKUY,Found it. your great content on ML-Ops. Thanks,2021-12-08,1,1,false
UgzbjwzZ-hTTCIluPGB4AaABAg,4OZip0cgOho,Doing a complete career change from social services to data analyst with no experience or degree. This video has been very helpful. Thanks!,2021-12-08,1,1,false
UgwR9N5n-s-K5O_0FCF4AaABAg,1aXk2RViq3c,Is there a way to make the links in the page open on a new tab instead of the same tab?,2022-01-12,0,0,false
Ugwrp6n6WT4cF1CTpkV4AaABAg,15c7WD-lKUY,Bayesian Learning will be very important. The BBN ability to operate probabilistically and work with incomplete evidence is quite powerful. It can also allow for interesting dataset quality/Imputation checks. I don't know why more people don't talk about this,2022-01-12,0,1,false
UgwKHPGXghrEczx2Dbd4AaABAg,o-wsyxWbPOw,My only complaint might be that they made it too easy and the value of the cert might not be that high.,2022-01-12,1,1,false
UgzpeMvfzIjHDxLqPmZ4AaABAg,rEWPqw6rMGI,I am just here for the Z shirt.,2022-01-12,1,1,false
Ugzjc6aR67wZfhbMpeF4AaABAg,rEWPqw6rMGI,Man your voice is so so good...I mean full of confidence and energetic...I really love your voice and your valuable tips too 💯🤩,2022-01-12,1,1,false
Ugxw3WszyqhqNejKjSx4AaABAg,Ip50cXvpWY4,Thanks again. I look forward to hearing from you. Jackie',2022-01-12,2,1,false
UgzDlgpZRfQD_62Gyxl4AaABAg,rEWPqw6rMGI,great stuff! I am in the process of hopefully moving into the Data Science world for my career and your videos are huge helps in my research to learn and understand in order to make the correct decisions for myself and career. Keep them coming.,2022-01-12,1,2,false
Ugx00I392FDWRUcCpGZ4AaABAg,rEWPqw6rMGI,Great vid as always!',2022-01-12,1,3,false
UgzAeVPX_drwGPMuoCl4AaABAg,4OZip0cgOho,All the Best for Ryder Cup ;),2020-07-21,1,1,false
UgzajLUH3N9eqSczxjZ4AaABAg,3Mm1U1CbzNw,Bro I have a doubt. I am interested in CV and NLP but not interested in linear regression kinda stuff. Can I learn CV and NLP from the beginning itself?,2020-07-21,1,1,false
UgwsrmxzOFA07CSS4Ql4AaABAg,Ip50cXvpWY4,Short and sweet!!! Thank u.,2020-07-21,1,1,false
UgwnUP9QI5CWVKtNLZB4AaABAg,PWmxLYTixAM,Do you have any tips for high schoolers interested in data science?,2020-07-21,1,1,false
